,Time,0,1,2,3
0,2021-01-21 23:58:14.000376,False,False,False,False
1,2021-01-21 23:58:15.000145,False,False,False,False
2,2021-01-21 23:58:16.000061,False,False,False,False
3,2021-01-21 23:58:17.000363,False,False,False,False
4,2021-01-21 23:58:18.000596,False,False,False,False
5,2021-01-21 23:58:19.000299,False,False,False,False
6,2021-01-21 23:58:20.000162,False,False,False,False
7,2021-01-21 23:58:21.000244,False,False,False,False
8,2021-01-21 23:58:22.000267,False,False,False,False
9,2021-01-21 23:58:23.000378,False,False,False,False
10,2021-01-21 23:58:24.000130,False,False,False,False
11,2021-01-21 23:58:25.000095,False,False,False,False
12,2021-01-21 23:58:26.000344,False,False,False,False
13,2021-01-21 23:58:27.000385,False,False,False,False
14,2021-01-21 23:58:28.000095,False,False,False,False
15,2021-01-21 23:58:29.000100,False,False,False,False
16,2021-01-21 23:58:30.000258,False,False,False,False
17,2021-01-21 23:58:31.000263,False,False,False,False
18,2021-01-21 23:58:32.000011,False,False,False,False
19,2021-01-21 23:58:33.000008,False,False,False,False
20,2021-01-21 23:58:34.000403,False,False,False,False
21,2021-01-21 23:58:35.000110,False,False,False,False
22,2021-01-21 23:58:36.000091,False,False,False,False
23,2021-01-21 23:58:37.000307,False,False,False,False
24,2021-01-21 23:58:38.000240,False,False,False,False
25,2021-01-21 23:58:39.000156,False,False,False,False
26,2021-01-21 23:58:40.000132,False,False,False,False
27,2021-01-21 23:58:41.000154,False,False,False,False
28,2021-01-21 23:58:42,False,False,False,False
29,2021-01-21 23:58:43.000282,False,False,False,False
30,2021-01-21 23:58:44.000414,False,False,False,False
31,2021-01-21 23:58:45.000345,False,False,False,False
32,2021-01-21 23:58:46.000372,False,False,False,False
33,2021-01-21 23:58:47.000347,False,False,False,False
34,2021-01-21 23:58:48.000440,False,False,False,False
35,2021-01-21 23:58:49.000192,False,False,False,False
36,2021-01-21 23:58:50.000438,False,False,False,False
37,2021-01-21 23:58:51.000212,False,False,False,False
38,2021-01-21 23:58:52.000383,False,False,False,False
39,2021-01-21 23:58:53.000087,False,False,False,False
40,2021-01-21 23:58:54.000012,False,False,False,False
41,2021-01-21 23:58:55.000281,False,False,False,False
42,2021-01-21 23:58:56.000272,False,False,False,False
43,2021-01-21 23:58:57.000311,False,False,False,False
44,2021-01-21 23:58:58.000317,False,False,False,False
45,2021-01-21 23:58:59.000233,False,False,False,False
46,2021-01-21 23:59:00.000287,False,False,False,False
47,2021-01-21 23:59:01.000070,False,False,False,False
48,2021-01-21 23:59:02.000002,False,False,False,False
49,2021-01-21 23:59:03.000105,False,False,False,False
50,2021-01-21 23:59:04.000431,False,False,False,False
51,2021-01-21 23:59:05.000380,False,False,False,False
52,2021-01-21 23:59:06.000667,False,False,False,False
53,2021-01-21 23:59:07.000090,False,False,False,False
54,2021-01-21 23:59:08.000383,False,False,False,False
55,2021-01-21 23:59:09.000049,False,False,False,False
56,2021-01-21 23:59:10.000005,False,False,False,False
57,2021-01-21 23:59:11.000021,False,False,False,False
58,2021-01-21 23:59:12.000353,False,False,False,False
59,2021-01-21 23:59:13.000236,False,False,False,False
60,2021-01-21 23:59:14.000453,False,False,False,False
61,2021-01-21 23:59:15.000273,False,False,False,False
62,2021-01-21 23:59:16.000301,False,False,False,False
63,2021-01-21 23:59:17.000474,False,False,False,False
64,2021-01-21 23:59:18.000026,False,False,False,False
65,2021-01-21 23:59:19.000166,False,False,False,False
66,2021-01-21 23:59:20.000079,False,False,False,False
67,2021-01-21 23:59:21.000413,False,False,False,False
68,2021-01-21 23:59:22.000230,False,False,False,False
69,2021-01-21 23:59:23.000449,False,False,False,False
70,2021-01-21 23:59:24.000155,False,False,False,False
71,2021-01-21 23:59:25.000336,False,False,False,False
72,2021-01-21 23:59:26.000480,False,False,False,False
73,2021-01-21 23:59:27.000423,False,False,False,False
74,2021-01-21 23:59:28.000296,False,False,False,False
75,2021-01-21 23:59:29.000076,False,False,False,False
76,2021-01-21 23:59:30.000170,False,False,False,False
77,2021-01-21 23:59:31.000216,False,False,False,False
78,2021-01-21 23:59:32.000490,False,False,False,False
79,2021-01-21 23:59:33.000159,False,False,False,False
80,2021-01-21 23:59:34.000324,False,False,False,False
81,2021-01-21 23:59:35.000196,False,False,False,False
