,Time,0,1,2,3
0,2021-01-22 00:00:01.239062,False,False,False,False
1,2021-01-22 00:00:02.000312,False,False,False,False
2,2021-01-22 00:00:03.000411,False,False,False,False
3,2021-01-22 00:00:04.000058,False,False,False,False
4,2021-01-22 00:00:05.000148,False,False,False,False
5,2021-01-22 00:00:06.000089,False,False,False,False
6,2021-01-22 00:00:07.000325,False,False,False,False
7,2021-01-22 00:00:08.000013,False,False,False,False
8,2021-01-22 00:00:09.001059,False,False,False,False
9,2021-01-22 00:00:10.000363,False,False,False,False
10,2021-01-22 00:00:11.000167,False,False,False,False
11,2021-01-22 00:00:12.000460,False,False,False,False
12,2021-01-22 00:00:13.000002,False,False,False,False
13,2021-01-22 00:00:14.000085,False,False,False,False
14,2021-01-22 00:00:15.000523,False,False,False,False
15,2021-01-22 00:00:16.000277,False,False,False,False
16,2021-01-22 00:00:17.000079,False,False,False,False
17,2021-01-22 00:00:18.000185,False,False,False,False
18,2021-01-22 00:00:19.000157,False,False,False,False
19,2021-01-22 00:00:20.000108,False,False,False,False
20,2021-01-22 00:00:21.000307,False,False,False,False
21,2021-01-22 00:00:22.000037,False,False,False,False
22,2021-01-22 00:00:23.000099,False,False,False,False
23,2021-01-22 00:00:24.000240,False,False,False,False
24,2021-01-22 00:00:25.000267,False,False,False,False
25,2021-01-22 15:37:21.003415,False,False,False,False
26,2021-01-22 15:37:22.000057,False,False,False,False
27,2021-01-22 15:37:23.001126,False,False,False,False
28,2021-01-22 15:37:24.000457,False,False,False,False
29,2021-01-22 15:37:25.000329,False,False,False,False
30,2021-01-22 15:37:26.000780,False,False,False,False
31,2021-01-22 15:37:27.021651,False,False,False,False
32,2021-01-22 15:37:28.001741,False,False,False,False
33,2021-01-22 15:37:29.004812,False,False,False,False
34,2021-01-22 15:37:30.000127,False,False,False,False
35,2021-01-22 15:37:31.058673,False,False,False,False
36,2021-01-22 15:37:32.032760,False,False,False,False
37,2021-01-22 15:37:33.001809,False,False,False,False
38,2021-01-22 15:37:34.000926,False,False,False,False
39,2021-01-22 15:37:35.000328,False,False,False,False
40,2021-01-22 15:37:36.000591,False,False,False,False
41,2021-01-22 15:37:37.000130,False,False,False,False
42,2021-01-22 15:37:38.000904,False,False,False,False
43,2021-01-22 15:37:39.000805,False,False,False,False
44,2021-01-22 15:38:21.000244,False,False,False,False
45,2021-01-22 15:38:22.000234,False,False,False,False
46,2021-01-22 15:38:23.000471,False,False,False,False
47,2021-01-22 15:38:24.000491,False,False,False,False
48,2021-01-22 15:38:25.000173,False,False,False,False
49,2021-01-22 15:38:26.000424,False,False,False,False
50,2021-01-22 15:38:27.000189,False,False,False,False
